Question,Answer Disease,Answer Index,Number of Symptoms
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Panic disorder 2) Tinnitus of unknown cause 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,1,3
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Panic disorder 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,2,3
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Breast infection (mastitis) 2) Polycystic ovarian syndrome (PCOS) 3) Panic disorder 4) Tinnitus of unknown cause",Panic disorder,3,3
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Polycystic ovarian syndrome (PCOS) 2) Breast infection (mastitis) 3) Tinnitus of unknown cause 4) Panic disorder",Panic disorder,4,3
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vocal cord polyp 2) Gas gangrene 3) VACTERL syndrome 4) Atonic bladder",Vocal cord polyp,1,3
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) Vocal cord polyp 3) Atonic bladder 4) VACTERL syndrome",Vocal cord polyp,2,3
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) VACTERL syndrome 3) Vocal cord polyp 4) Atonic bladder",Vocal cord polyp,3,3
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atonic bladder 2) VACTERL syndrome 3) Gas gangrene 4) Vocal cord polyp",Vocal cord polyp,4,3
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Turner syndrome 2) Ulcerative colitis 3) Eye alignment disorder 4) Hyperlipidemia",Turner syndrome,1,3
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Turner syndrome 3) Eye alignment disorder 4) Ulcerative colitis",Turner syndrome,2,3
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Ulcerative colitis 3) Turner syndrome 4) Hyperlipidemia",Turner syndrome,3,3
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Hyperlipidemia 3) Ulcerative colitis 4) Turner syndrome",Turner syndrome,4,3
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cryptorchidism 2) Chronic glaucoma 3) Chagas disease 4) Hyperhidrosis",Cryptorchidism,1,3
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperhidrosis 2) Cryptorchidism 3) Chagas disease 4) Chronic glaucoma",Cryptorchidism,2,3
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic glaucoma 2) Chagas disease 3) Cryptorchidism 4) Hyperhidrosis",Cryptorchidism,3,3
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic glaucoma 2) Hyperhidrosis 3) Chagas disease 4) Cryptorchidism",Cryptorchidism,4,3
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to ethylene glycol 2) Neuropathy due to drugs 3) Corneal disorder 4) Diabetic ketoacidosis",Poisoning due to ethylene glycol,1,3
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Corneal disorder 2) Poisoning due to ethylene glycol 3) Neuropathy due to drugs 4) Diabetic ketoacidosis",Poisoning due to ethylene glycol,2,3
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neuropathy due to drugs 2) Diabetic ketoacidosis 3) Poisoning due to ethylene glycol 4) Corneal disorder",Poisoning due to ethylene glycol,3,3
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neuropathy due to drugs 2) Corneal disorder 3) Diabetic ketoacidosis 4) Poisoning due to ethylene glycol",Poisoning due to ethylene glycol,4,3
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atrophic vaginitis 2) Somatization disorder 3) Mitral valve disease 4) Gum disease",Atrophic vaginitis,1,3
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Atrophic vaginitis 3) Gum disease 4) Mitral valve disease",Atrophic vaginitis,2,3
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Mitral valve disease 3) Atrophic vaginitis 4) Gum disease",Atrophic vaginitis,3,3
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gum disease 2) Mitral valve disease 3) Somatization disorder 4) Atrophic vaginitis",Atrophic vaginitis,4,3
