Question,Answer Disease,Answer Index,Number of Symptoms,llama38b_Answer,extracted,check
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Panic disorder 2) Tinnitus of unknown cause 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,1,3,"1) Panic disorder
Explanation: The symptoms of anxiety and nervousness, depression, and shortness of breath are consistent",1,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Panic disorder 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,2,3,"2) Panic disorder
Explanation: The symptoms of anxiety and nervousness, depression, and shortness of breath are consistent",2,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Breast infection (mastitis) 2) Polycystic ovarian syndrome (PCOS) 3) Panic disorder 4) Tinnitus of unknown cause",Panic disorder,3,3,"3) Panic disorder
Explanation: The symptoms of anxiety and nervousness, depression, and shortness of breath are consistent",3,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Polycystic ovarian syndrome (PCOS) 2) Breast infection (mastitis) 3) Tinnitus of unknown cause 4) Panic disorder",Panic disorder,4,3,"4) Panic disorder
Explanation: The symptoms of anxiety and nervousness, depression, and shortness of breath are consistent",4,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vocal cord polyp 2) Gas gangrene 3) VACTERL syndrome 4) Atonic bladder",Vocal cord polyp,1,3,"1) Vocal cord polyp
Explanation: The symptoms of hoarse voice, sore throat, and difficulty speaking are consistent",1,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) Vocal cord polyp 3) Atonic bladder 4) VACTERL syndrome",Vocal cord polyp,2,3,"2) Vocal cord polyp
Explanation: The symptoms of hoarse voice, sore throat, and difficulty speaking are consistent",2,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) VACTERL syndrome 3) Vocal cord polyp 4) Atonic bladder",Vocal cord polyp,3,3,"3) Vocal cord polyp
Explanation: The symptoms of hoarse voice, sore throat, and difficulty speaking are consistent",3,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atonic bladder 2) VACTERL syndrome 3) Gas gangrene 4) Vocal cord polyp",Vocal cord polyp,4,3,"4) Vocal cord polyp
Explanation: The symptoms of hoarse voice, sore throat, and difficulty speaking are consistent",4,same
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Turner syndrome 2) Ulcerative colitis 3) Eye alignment disorder 4) Hyperlipidemia",Turner syndrome,1,3,"1) Turner syndrome
Explanation: Turner syndrome is a genetic disorder characterized by the absence of one X chromosome. It is",1,same
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Turner syndrome 3) Eye alignment disorder 4) Ulcerative colitis",Turner syndrome,2,3,"2) Turner syndrome
Explanation: Turner syndrome is a genetic disorder that affects the development of the ovaries and is characterized",2,same
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Ulcerative colitis 3) Turner syndrome 4) Hyperlipidemia",Turner syndrome,3,3,"3) Turner syndrome
Explanation: Turner syndrome is a genetic disorder characterized by short stature, webbed neck, and other",3,same
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Hyperlipidemia 3) Ulcerative colitis 4) Turner syndrome",Turner syndrome,4,3,"4) Turner syndrome
Explanation: Turner syndrome is a genetic disorder characterized by short stature, webbed neck, and other",4,same
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cryptorchidism 2) Chronic glaucoma 3) Chagas disease 4) Hyperhidrosis",Cryptorchidism,1,3,"1) Cryptorchidism
Explanation: The symptoms of scrotal swelling and testicular pain are consistent with crypt",1,same
