Question,Answer Disease,Answer Index,Number of Symptoms,MedicalLlama3_8B_Answer,extracted,check
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Panic disorder 2) Tinnitus of unknown cause 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,1,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Panic disorder 2) Tinnitus of unknown cause 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)
Answer: 1) Panic disorder
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depression, and shortness of breath. These symptoms are consistent with a diagnosis of panic disorder. Panic disorder is a type of anxiety disorder characterized by recurrent",1,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Panic disorder 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,2,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Panic disorder 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)
Answer: 2
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depression, and shortness of breath. These symptoms are consistent with a diagnosis of panic disorder. Panic disorder is a type of anxiety disorder characterized by recurrent and unexpected panic",2,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Breast infection (mastitis) 2) Polycystic ovarian syndrome (PCOS) 3) Panic disorder 4) Tinnitus of unknown cause",Panic disorder,3,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Breast infection (mastitis) 2) Polycystic ovarian syndrome (PCOS) 3) Panic disorder 4) Tinnitus of unknown cause
Answer: 3
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depression, and shortness of breath. These symptoms are consistent with a diagnosis of panic disorder. Panic disorder is a type of anxiety disorder characterized by recurrent and unexpected panic",3,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Polycystic ovarian syndrome (PCOS) 2) Breast infection (mastitis) 3) Tinnitus of unknown cause 4) Panic disorder",Panic disorder,4,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Polycystic ovarian syndrome (PCOS) 2) Breast infection (mastitis) 3) Tinnitus of unknown cause 4) Panic disorder
Answer: 4
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depression, and shortness of breath. These symptoms are consistent with a diagnosis of panic disorder. Panic disorder is a type of anxiety disorder characterized by recurrent and unexpected panic",4,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vocal cord polyp 2) Gas gangrene 3) VACTERL syndrome 4) Atonic bladder",Vocal cord polyp,1,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vocal cord polyp 2) Gas gangrene 3) VACTERL syndrome 4) Atonic bladder
Answer: 1
Explanation: The patient is presenting with symptoms of hoarse voice, sore throat, and difficulty speaking. These symptoms are suggestive of a vocal cord polyp, which is a benign growth on the vocal cords that can cause hoarse voice,",1,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) Vocal cord polyp 3) Atonic bladder 4) VACTERL syndrome",Vocal cord polyp,2,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) Vocal cord polyp 3) Atonic bladder 4) VACTERL syndrome
Answer: 2
Explanation: The patient is presenting with symptoms of hoarse voice, sore throat, and difficulty speaking, which are all indicative of a vocal cord polyp. A vocal cord polyp is a benign growth on the vocal cords that can cause",2,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) VACTERL syndrome 3) Vocal cord polyp 4) Atonic bladder",Vocal cord polyp,3,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) VACTERL syndrome 3) Vocal cord polyp 4) Atonic bladder
Answer: 3
Explanation: The patient is presenting with symptoms of hoarse voice, sore throat, and difficulty speaking. These symptoms are suggestive of a vocal cord polyp, which is a benign growth on the vocal cords that can cause hoarseness and",3,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atonic bladder 2) VACTERL syndrome 3) Gas gangrene 4) Vocal cord polyp",Vocal cord polyp,4,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atonic bladder 2) VACTERL syndrome 3) Gas gangrene 4) Vocal cord polyp
Answer: 2
Explanation: VACTERL syndrome is a rare genetic disorder characterized by the presence of multiple congenital abnormalities, including vertebral defects, anal atresia, cardiac defects, tracheoesophageal fistula, renal anomalies, and limb",2,different
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Turner syndrome 2) Ulcerative colitis 3) Eye alignment disorder 4) Hyperlipidemia",Turner syndrome,1,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Turner syndrome 2) Ulcerative colitis 3) Eye alignment disorder 4) Hyperlipidemia
Answer: 2
Explanation: The patient is presenting with symptoms of ulcerative colitis, which is a chronic inflammatory bowel disease characterized by abdominal pain, diarrhea, and rectal bleeding. The other options are not consistent with the given symptoms.",2,different
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Turner syndrome 3) Eye alignment disorder 4) Ulcerative colitis",Turner syndrome,2,3,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Turner syndrome 3) Eye alignment disorder 4) Ulcerative colitis
Answer: 2
Explanation: The patient is presenting with symptoms of a groin mass, leg pain, and hip pain. These symptoms are consistent with Turner syndrome, a genetic disorder characterized by the absence of one of the two X chromosomes. The other options are",2,same
