Question,Answer Disease,Answer Index,Number of Symptoms,ChatDoctor_Answer,extracted,check
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Panic disorder 2) Tinnitus of unknown cause 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,1,3,"Based on the symptoms presented, the most likely diagnosis is Panic disorder.",1,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Panic disorder 3) Polycystic ovarian syndrome (PCOS) 4) Breast infection (mastitis)",Panic disorder,2,3,"Based on the symptoms, the most likely diagnosis is Panic Disorder.",2,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Breast infection (mastitis) 2) Polycystic ovarian syndrome (PCOS) 3) Panic disorder 4) Tinnitus of unknown cause",Panic disorder,3,3,"Based on the symptoms, the most likely diagnosis is Polycystic ovarian syndrome (PCOS).",2,different
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depression, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Polycystic ovarian syndrome (PCOS) 2) Breast infection (mastitis) 3) Tinnitus of unknown cause 4) Panic disorder",Panic disorder,4,3,"Based on the symptoms presented, the most likely diagnosis is Polycystic ovarian syndrome (PCOS).",1,different
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vocal cord polyp 2) Gas gangrene 3) VACTERL syndrome 4) Atonic bladder",Vocal cord polyp,1,3,Vocal cord polyp.,1,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) Vocal cord polyp 3) Atonic bladder 4) VACTERL syndrome",Vocal cord polyp,2,3,"Based on the symptoms, the most likely diagnosis is Vocal cord polyp.",2,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gas gangrene 2) VACTERL syndrome 3) Vocal cord polyp 4) Atonic bladder",Vocal cord polyp,3,3,"Based on the symptoms, the most likely diagnosis is Vocal cord polyp.",3,same
"A patient is presenting with the following symptoms: Hoarse voice, Sore throat, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atonic bladder 2) VACTERL syndrome 3) Gas gangrene 4) Vocal cord polyp",Vocal cord polyp,4,3,"Based on the symptoms, the most likely diagnosis is Vocal cord polyp.",4,same
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Turner syndrome 2) Ulcerative colitis 3) Eye alignment disorder 4) Hyperlipidemia",Turner syndrome,1,3,"Based on the symptoms, the most likely diagnosis is 4) Hyperlipidemia.",4,different
"A patient is presenting with the following symptoms: Groin mass, Leg pain, Hip pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperlipidemia 2) Turner syndrome 3) Eye alignment disorder 4) Ulcerative colitis",Turner syndrome,2,3,"Based on the symptoms presented, the most likely diagnosis is 4) Ulcerative colitis.",4,different
